가게명,요리,개업,운영상태,별점,리뷰
빽다방 남양주장현점,테이크아웃커피,,영업 중,,
설빙 남양주진접점,빙수,,영업 중,별점4.45,리뷰 675
카페 네르하,"카페,디저트",,영업 중,,
유니더버터,"카페,디저트",,영업 중,,
빽다방 진접롯데시네마점,테이크아웃커피,,영업 중,,
텐페이지,테이크아웃커피,,영업 중,별점4.63,리뷰 254
카페아뜰리에,"카페,디저트",,오늘 휴무,,
LP카페 사운드오브뮤직,브런치,,영업 중,별점4.52,리뷰 743
더벤티 진접반도유보라점,카페,,영업 중,,
왈풍류커피점,"카페,디저트",,영업 종료,,
디디스터디카페 진접점,스터디카페,,24시간 영업,,
이디야커피 남양주진벌점,카페,,영업 중,별점4.52,리뷰 292
자이커피하우스,카페,,영업 중,별점4.58,리뷰 93
르씨엘,"카페,디저트",,영업 중,별점4.37,리뷰 398
뚜레쥬르 진접반도점,베이커리,,영업 중,별점4.42,리뷰 515
파리바게뜨 진접중앙점,베이커리,,영업 중,별점4.44,리뷰 999+
느긋한커피,"카페,디저트",,영업 중,,
크로피앙 본점,"카페,디저트",,영업 중,,
주재근베이커리 진접점,베이커리,,,별점4.43,리뷰 999+
던킨 남양주장현(명.변)점,도넛,,,별점4.38,리뷰 994
배스킨라빈스 남양주부평,아이스크림,,영업 중,,
달리는커피 진접역점,카페,,,,리뷰 58
더벤티 진접광릉점,카페,,영업 중,,
삐삐커피,"카페,디저트",,영업 종료,,
아미스타드,"카페,디저트",,영업 중,,
쥬씨 진접2호점,"과일,주스전문점",,영업 중,별점4.33,리뷰 249
이디야커피 진접이마트점,카페,,,별점4.31,리뷰 253
더벤티 남양주장현점,카페,,영업 중,,
커피에반하다 남양주진접점,카페,,영업 중,별점4.05,리뷰 212
빽다방 남양주진접제일점,테이크아웃커피,,영업 중,,
컴포즈커피 남양주진접휴먼시아점,카페,,영업 중,,
커피베이 진접내각점,카페,,영업 중,별점4.6,리뷰 144
파리바게뜨 진접금강점,베이커리,,영업 중,별점4.29,리뷰 999+
코인커피,"카페,디저트",,영업 종료,별점4.57,리뷰 165
두에두베이커리,베이커리,,오늘 휴무,별점4.66,리뷰 234
더벤티 진접신도시점,카페,,영업 중,,
컴포즈커피 남양주진접서희스타힐스점,카페,,영업 중,,
차담,"카페,디저트",,영업 중,,
카페베네 남양주진접지구점,카페,,영업 중,별점4.45,리뷰 234
더벤티 진접서희스타힐스점,카페,,영업 중,,
와플대학 진접 캠퍼스,와플,,영업 중,,
카페 라온하제,"카페,디저트",,영업 중,,
듀에피아니,카페,,영업 중,별점4.47,리뷰 215
컴포즈커피 경복대남양주캠퍼스점,카페,,영업 중,,
떡카페달보드레,떡카페,,영업 중,,
던킨 진접홈플러스점,도넛,,,별점4.29,리뷰 596
배스킨라빈스 진접홈플러스,아이스크림,,영업 중,별점4.39,리뷰 713
케이커피,"카페,디저트",,영업 중,,
타임스터디카페,스터디카페,,24시간 영업,,
파리바게뜨 진접제일점,베이커리,,영업 중,별점4.33,리뷰 999+
모제커피,카페,,오늘 휴무,,
행복한 에너지,도넛,,영업 중,,
더세이지,카페,,영업 중,,
프랭크서울 진접점,"카페,디저트",,영업 중,별점4.67,리뷰 61
샤빙 진접점,"카페,디저트",,영업 중,,
배스킨라빈스 남양주진접해밀,아이스크림,,영업 중,,
리얼브레드,베이커리,,영업 중,,
프로과일러,"카페,디저트",,영업 종료,,
본아빼띠,"카페,디저트",,영업 중,,
커피마마 진접센트레빌우리집점,카페,,영업 중,별점4.5,리뷰 86
카페 수,"카페,디저트",,영업 중,,
파리바게뜨 진접센트레빌점,베이커리,,영업 중,별점4.11,리뷰 634
배스킨라빈스 남양주진접역,아이스크림,,영업 중,,
STAY,"카페,디저트",,영업 중,별점4.87,리뷰 191
카페 대궐,"카페,디저트",,오늘 휴무,,
보우르,"카페,디저트",,영업 중,별점4.62,리뷰 113
Cafe 밤나무별,"카페,디저트",,,별점4.81,리뷰 33
더리터 남양주장현점,테이크아웃커피,,영업 중,,
이디야커피 경복대점,카페,,영업 중,,
뉴욕쟁이디저트 진접점,"카페,디저트",,영업 중,,
메가커피 진접반도유보라점,"카페,디저트",,영업 중,,
GON CAFE,"카페,디저트",,,별점4.32,리뷰 275
아피커피 로스팅공장,카페,,오늘 휴무,별점4.5,리뷰 14
런던브래드앤커피,"카페,디저트",,영업 중,,
