가게명,요리,개업,운영상태,별점,리뷰
썸띵어바웃커피,"카페,디저트",,영업 중,별점4.42,리뷰 999+
수지상회 강남1호점,요리주점,,영업 중,,리뷰 999+
스시이안앤 강남역점,"초밥,롤",,영업 중,,리뷰 999+
오마카세 오사이초밥 강남역점,"초밥,롤",,영업 종료,,리뷰 999+
에이비카페,카페,,24시간 영업,별점4.44,리뷰 999+
강남진해장,한식,,24시간 영업,별점4.35,리뷰 999+
행그리조 핫치킨,햄버거,,영업 종료,,리뷰 456
우화,"육류,고기요리",,영업 중,별점4.6,리뷰 473
플랫나인,바(BAR),,영업 중,별점4.79,리뷰 999+
더플라잉팬 레드,양식,,영업 중,별점4.37,리뷰 999+
주인장,요리주점,,영업 중,,리뷰 497
일편등심 강남점,소고기구이,,영업 중,별점4.86,리뷰 999+
청담이상 강남역점,이자카야,,영업 중,,리뷰 999+
7번방 강남점,요리주점,,영업 중,,리뷰 999+
노랑저고리,한정식,,곧 영업 종료,별점4.35,리뷰 999+
농민백암순대,"순대,순댓국",,영업 종료,별점4.51,리뷰 999+
청류벽,막국수,,곧 영업 종료,별점4.25,리뷰 999+
뽕족 강남역본점,"족발,보쌈",,영업 중,별점4.53,리뷰 999+
화로로 강남본점,"육류,고기요리",,영업 중,별점4.54,리뷰 999+
보글이 생태탕왕코다리 양재역점,"해물,생선요리",,영업 중,,리뷰 999+
베트남이랑,베트남음식,,영업 중,별점4.44,리뷰 999+
퍼스트커피랩 강남점,"카페,디저트",,영업 중,,리뷰 999+
따롱이훠궈 강남점,중식당,,영업 중,,리뷰 999+
소보키 강남점,요리주점,,영업 중,,리뷰 999+
쿠차라 삼성서초사옥점,"멕시코,남미음식",,영업 종료,별점4.46,리뷰 999+
강남역파스타,"스파게티,파스타전문",,곧 영업 종료,별점4.58,리뷰 999+
느린마을양조장 강남점,요리주점,,영업 중,별점4.33,리뷰 999+
칠성룸포차 강남역2호점,포장마차,새로오픈,영업 중,,리뷰 202
차슈밍,중식당,,영업 중,,리뷰 999+
반갑다 하대포,"육류,고기요리",,영업 중,별점4.51,리뷰 999+
나이스샤워,일식당,,영업 종료,별점4.51,리뷰 999+
꼭그닭 강남점,"맥주,호프",,영업 중,별점4.45,리뷰 999+
마녀주방 강남점,이탈리아음식,,영업 중,별점4.46,리뷰 999+
화기애애,"육류,고기요리",,영업 중,별점4.64,리뷰 999+
강남명전,"전,빈대떡",,영업 중,별점4.31,리뷰 999+
다몽집 신논현본점,"육류,고기요리",,영업 중,별점4.68,리뷰 999+
치스타리에 강남역점,"스파게티,파스타전문",,영업 중,,리뷰 999+
고메램 강남점,양갈비,,영업 중,별점4.59,리뷰 999+
후추포인트,양식,,영업 중,,리뷰 999+
하우마라탕,중식당,,영업 중,별점4.53,리뷰 999+
강남교자 본점,"칼국수,만두",,영업 종료,별점4.36,리뷰 999+
시골야채된장,"찌개,전골",,영업 중,별점4.3,리뷰 999+
파파야리프 강남점,아시아음식,,영업 중,별점4.5,리뷰 999+
파티플레이 뮤직타운 강남역점,요리주점,,영업 중,,리뷰 999+
제주흑다돈 강남직영점,돼지고기구이,,24시간 영업,별점4.35,리뷰 999+
파머스포케 강남역점,"다이어트,샐러드",새로오픈,영업 종료,,리뷰 81
올바른스시 강남역점,"초밥,롤",,영업 중,별점4.61,리뷰 999+
육품,돼지고기구이,,영업 중,별점4.42,리뷰 763
나이쏘이 강남점,태국음식,,영업 중,별점4.26,리뷰 999+
강탄 강남역점,요리주점,새로오픈,영업 중,,리뷰 59
시부야 네코,이자카야,,영업 중,,리뷰 999+
