가게명,요리,개업,운영상태,별점,리뷰
일번지,한식,,영업 전,,
리프레쉬먼트,브런치,,영업 중,,
업사이드커피 뚝섬점,"카페,디저트",,영업 중,,
멘토부 성수본점,일본식라면,,곧 영업 시작,,
만선애꿈,"해물,생선요리",,영업 중,,
버거쑈,햄버거,,영업 중,,
문토리 왕십리점,이자카야,새로오픈,영업 중,,리뷰 17
히토리우동,"우동,소바",,영업 중,별점4.59,리뷰 498
왕십리막회,생선회,,영업 중,,
헤이든 성수점,요리주점,,영업 중,,
히치커피 성수,"카페,디저트",,영업 중,,
이돈집,"찌개,전골",,영업 중,별점4.45,리뷰 536
송흥,베트남음식,,오늘 휴무,별점4.69,리뷰 507
매드포갈릭 왕십리역사점,이탈리아음식,,영업 중,별점4.38,리뷰 999+
세광양대창 왕십리점,"곱창,막창,양",,영업 중,별점4.52,리뷰 591
꼬밍,"카페,디저트",,영업 중,,
톤즈커피,"카페,디저트",,영업 중,별점4.48,리뷰 744
젤코바세라타,와인,,영업 중,,
소재,"카페,디저트",,영업 중,별점4.62,리뷰 782
대게신랑조개신부,"해물,생선요리",,영업 중,별점4.58,리뷰 165
영희게러지,양식,,영업 중,,
정통집 왕십리한양대점,돼지고기구이,,영업 중,별점4.38,리뷰 718
아우프글렛 금호,"카페,디저트",,영업 중,별점4.45,리뷰 999+
팔자보,"백숙,삼계탕",,영업 중,별점4.44,리뷰 202
도죠,일식당,,오늘 휴무,,
동래파전,"전,빈대떡",,영업 중,별점4.26,리뷰 322
우오보 파스타바,양식,,영업 전,,영업 전
진술,요리주점,,곧 영업 시작,별점4.35,리뷰 652
프라이데이 베이커리,"카페,디저트",,영업 중,별점4.75,리뷰 186
프라이데이무브먼트,"카페,디저트",,영업 중,,
오봉집 왕십리점,한식,,영업 중,,
목목 성수점,양식,새로오픈,영업 중,,리뷰 93
가야시,이자카야,,영업 중,,
기와르,카페,,영업 중,별점4.86,리뷰 357
유유커피,"카페,디저트",,영업 중,별점4.49,리뷰 999+
쓰리오브어스,일본식라면,,영업 중,별점4.34,리뷰 557
롯데리아 왕십리역사점,햄버거,,24시간 영업,별점4.4,리뷰 999+
이가갈비,"육류,고기요리",,영업 중,,
명륜진사갈비 서울용답점,"육류,고기요리",,영업 중,,
누이테이블,이탈리아음식,,영업 중,별점4.61,리뷰 999+
여운,이자카야,,영업 중,,
곤스,이자카야,,영업 중,,
마쿠 마라탕,중식당,,영업 중,별점4.52,리뷰 834
설빙 한양대점,빙수,,영업 중,별점4.27,리뷰 999+
유태,국밥,,영업 중,,
동방양꼬치,양꼬치,,영업 중,별점4.57,리뷰 458
매치스성수,와인,,영업 중,,
시올돈 왕십리점,돈가스,,영업 중,,
손 수제버거,햄버거,,영업 중,,
문화공간 성수,와인,,영업 전,별점4.85,리뷰 249
마장황소곱창,"곱창,막창,양",,영업 중,별점4.42,리뷰 571
핏제리아 달 포르노,피자,,영업 중,,
맵당 본점,"육류,고기요리",,영업 중,,
너디블루 버로우,"카페,디저트",,영업 중,,
한우드림,소고기구이,,영업 전,,
드소영,"카페,디저트",,영업 중,별점4.83,리뷰 246
베네토피자앤펍,피자,,영업 중,,
제이스플레이트,"스파게티,파스타전문",,영업 중,,
소문난순대국왕족발,"순대,순댓국",,영업 중,,
브라운돈까스 답십리점,돈가스,,영업 중,별점4.24,리뷰 646
수지상회 한양대점,포장마차,,영업 중,별점4.67,리뷰 691
더클래식,바(BAR),,영업 전,별점4.26,리뷰 160
혜원소곱창,"육류,고기요리",,영업 중,별점4.45,리뷰 328
미락바지락칼국수,"칼국수,만두",,오늘 휴무,별점4.47,리뷰 766
오적회관 왕십리역점,한식,,영업 중,,
옵션option2,양식,,영업 중,,
부엉이산장 한양대점,요리주점,,영업 중,,
한양대신닭발,닭발,,영업 중,별점4.4,리뷰 304
국수집,국수,,오늘 휴무,별점4.75,리뷰 175
황소곱창,"곱창,막창,양",,영업 중,별점4.42,리뷰 675
스시존,"초밥,롤",,영업 중,별점4.44,리뷰 613
투썸플레이스 왕십리역점,카페,,영업 중,별점4.36,리뷰 999+
그리노 성수,양식,,영업 중,,
도담치킨 한양대점,"치킨,닭강정",,영업 중,,
스시로지,"초밥,롤",,영업 중,별점4.65,리뷰 542
올드너티 커피로스터스,"카페,디저트",,영업 중,,
봉평옹심이메밀칼국수,"칼국수,만두",,영업 중,별점4.29,리뷰 935
기연각,중식당,,영업 중,,
이북집 찹쌀순대 성수점,"순대,순댓국",,영업 중,별점4.23,리뷰 886
멘푸라,일본식라면,,영업 중,,
쭈식이상회,"육류,고기요리",,영업 중,,
새마을식당 한양대점 직화,돼지고기구이,,영업 중,별점4.34,리뷰 955
카페앨리,"카페,디저트",,오늘 휴무,별점4.58,리뷰 264
왕십리 양양꼬치,양꼬치,,영업 중,별점4.66,리뷰 216
짙은,카페,,영업 중,별점4.22,리뷰 462
아우라,바(BAR),,영업 전,,
무한통삼 한양대점,돼지고기구이,,영업 중,별점4.2,리뷰 554
싱싱오징어바다 한양대점,오징어요리,,영업 중,별점4.31,리뷰 515
청담동샤브 왕십리역점,샤브샤브,,영업 중,,
멜드샌드위치샵,샌드위치,,영업 종료,,
한양대육회집,한식,,영업 중,,
두끼 한양대점,분식,,영업 중,별점4.23,리뷰 777
Tinto,양식,,브레이크타임,,
장성식당,"순대,순댓국",,오늘 휴무,별점4.48,리뷰 556
홍콩반점0410 한양대점,중식당,,영업 중,별점4.24,리뷰 994
금룡,중식당,,24시간 영업,별점4.11,리뷰 379
세이보리플레이트,양식,,영업 중,,
롤링파스타 한양대점,"스파게티,파스타전문",,영업 중,별점4.65,리뷰 999+
스타벅스 한양대점,카페,,영업 중,별점4.42,리뷰 999+
호치킨 한양대점,"치킨,닭강정",,영업 중,별점4.5,리뷰 516
아쿠아덕,피자,,영업 전,별점4.75,리뷰 168
노워리즈,브런치카페,,영업 중,,
김부삼 한양대점,돼지고기구이,,영업 중,별점4.17,리뷰 596
오감,이자카야,,영업 전,별점4.5,리뷰 348
곽가네 기깔난게장 무한리필,한식,,영업 중,별점4.74,리뷰 999+
써브웨이 한양대점,샌드위치,,영업 중,별점4.33,리뷰 999+
투썸플레이스 한양대엔터식스점,카페,,영업 중,,
오타쿠 한양대직영점,요리주점,,영업 중,,
가마루빚은고등어,"해물,생선요리",,영업 중,별점4.31,리뷰 999+
팔각도 한양대점,닭갈비,,영업 중,,
어흥식당 왕십리점,양식,,영업 중,,
마아트 커피 브루어스,"카페,디저트",,영업 중,별점4.76,리뷰 310
샐러드포원 왕십리점,"다이어트,샐러드",,영업 종료,별점5,리뷰 196
왕십리누룽지통닭구이,"치킨,닭강정",,영업 중,,
김종용누룽지통닭 한양대점,"치킨,닭강정",,영업 중,별점4.47,리뷰 357
육쌈냉면 한양대점,냉면,,영업 중,별점4.21,리뷰 513
칼 성수점,"칼국수,만두",,영업 종료,,
멘츠루 성수점,일본식라면,,영업 중,,
장모족발 서울1호점,"족발,보쌈",,영업 중,별점4.44,리뷰 418
크리스피크림도넛 왕십리역사점,도넛,,영업 중,별점4.38,리뷰 999+
명랑핫도그 한양대점,핫도그,,운영 중,별점4.5,리뷰 999+
작은카페,"카페,디저트",,영업 중,별점4.9,리뷰 341
해원횟집,생선회,,영업 중,별점4.13,리뷰 671
일락,일본식라면,,오늘 휴무,별점4.43,리뷰 408
키커피 컴퍼니,카페,,오늘 휴무,별점4.48,리뷰 999+
슬로우캘리 뚝섬역점,"다이어트,샐러드",,영업 중,,
샤보샤보,한식,,영업 중,,
드뷔시산장,카페,,영업 중,별점4.85,리뷰 256
육회바른연어 왕십리점,요리주점,,영업 중,,
스타벅스 엔터식스점,카페,,영업 중,별점4.42,리뷰 999+
무지개맥주 왕십리점,"맥주,호프",,영업 중,별점4.32,리뷰 457
헬렐레,이자카야,,영업 중,,
금일식당,"육류,고기요리",,영업 중,,
아쿠아산타 성수카페,"카페,디저트",,영업 중,별점4.88,리뷰 999+
동해루,중식당,,영업 중,별점4.33,리뷰 474
담솥 왕십리역점,한식,,영업 중,,
미미램양꼬치 한양대점,양꼬치,,영업 중,별점4.66,리뷰 664
스페셜 땡스 투,"카페,디저트",,영업 중,,
바오밥 커피 로스터스,"카페,디저트",,영업 중,별점4.61,리뷰 255
동대문엽기떡볶이 한양대점,분식,,영업 중,,
왕십리소곱창,"곱창,막창,양",,영업 중,,
로데오곱창,"곱창,막창,양",,영업 중,별점4.54,리뷰 820
카페 그린룸 GRIN ROOM,카페,,영업 중,,
롯데리아 답십리점,햄버거,,24시간 영업,별점4.34,리뷰 999+
타이인플레이트,태국음식,,영업 중,별점4.34,리뷰 219
안안베트남쌀국수,베트남음식,,영업 중,,
피카워크샵,"카페,디저트",,영업 중,별점4.25,리뷰 190
호말커피,"카페,디저트",,영업 중,,
내추럴,와인,,영업 중,별점4.47,리뷰 186
달바,바(BAR),,영업 전,별점4.44,리뷰 326
더네온문,"카페,디저트",,영업 중,,
완미족발 서울한양대점,"족발,보쌈",,영업 중,,
철남,한정식,,영업 중,별점4.52,리뷰 315
신사숙녀여러분포차,포장마차,,영업 전,,
스시노칸도 왕십리비트플렉스점,"초밥,롤",,영업 중,,
츄로s coffee&icecream 왕십리점,"카페,디저트",,영업 중,,
생마차 한양대점,이자카야,,영업 중,,
춘몽,이자카야,,영업 중,,
와규스타 답십리본점,소고기구이,,영업 중,,
리커버리커피바,"카페,디저트",,영업 중,별점4.63,리뷰 256
청죽골 2호점,한식,,영업 중,,
화이트글래스,"카페,디저트",,영업 중,,
더 곱,"곱창,막창,양",,영업 중,,
다이너 왕십리점,양식,,영업 종료,,
띠앋,"카페,디저트",,영업 중,별점4.64,리뷰 491
싸다김밥 답십리역점,분식,,24시간 영업,별점4.3,리뷰 999+
한양대양꼬치,양꼬치,,영업 중,별점4.29,리뷰 364
꽃팟 왕십리역점,베트남음식,,영업 중,,
